idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,terminal_reward,step_reward,micro_reward,cfg_json,error
10,dense_chain_cost,-1.7854900115613044,0.0008449554443359375,0.05,0.1,0.0004116449600610977,1.02,20,0.95,1.0,-0.02,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.02}",
11,dense_chain_cost,-1.7855041536419458,0.0008440017700195312,0.05,0.1,0.00041118034949669464,2.02,20,0.95,2.0,-0.02,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.02}",
12,dense_chain_cost,-1.783715572491039,0.000843048095703125,0.05,0.1,0.00041510489991473666,1.02,20,0.97,1.0,-0.02,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.02}",
13,dense_chain_cost,-1.617404012379332,0.0012261820704763291,0.05,0.1,0.0005973707522833399,1.05,20,0.95,1.0,-0.05,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.05}",
14,dense_chain_cost,-0.9436942722585454,0.0017241764954558064,0.05,0.4,0.0008399834208630853,1.1,20,0.95,1.0,-0.1,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
15,dense_chain_cost,-0.9244401409632544,0.002022902170817057,0.16666666666666666,0.3333333333333333,0.0009855164421929254,1.02,30,0.95,1.0,-0.02,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.02}",
16,dense_chain_cost,-1.7836992265146807,0.0008420944213867188,0.05,0.1,0.0004146353242361001,2.02,20,0.97,2.0,-0.02,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.02}",
17,dense_chain_cost,-1.7857098499270034,0.0008449554443359375,0.05,0.1,0.0004116449600610977,2.05,20,0.95,2.0,-0.05,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.05}",
18,dense_chain_cost,-1.6943250521846687,0.0010463702530358588,0.05,0.1,0.000515217840327301,1.05,20,0.97,1.0,-0.05,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.05}",
19,dense_chain_cost,-1.7839522742998926,0.000843048095703125,0.05,0.1,0.00041510489991473666,2.05,20,0.97,2.0,-0.05,False,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.05}",
