idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,error,cfg
34,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
35,shaped_chain,-1.5221948516796708,0.0006527900695800781,0.05,0.1,0.0003180259313338842,2.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
36,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
37,shaped_chain,-3.8998874623118898,0.0002942085266113281,0.05,0.05,0.0001448640968593849,2.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
38,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,2.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
39,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
40,two_path_chain,0.3542030414126373,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
41,two_path_chain,0.31975405541611285,0.0009248256683349609,0.1,0.1,0.00045537101435782335,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
42,two_path_chain,0.37046744673056103,0.0009253025054931641,0.1,0.1,0.0004507884001120543,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
43,two_path_chain,0.6680006179372813,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
44,two_path_chain,0.37046744673056103,0.0009253025054931641,0.1,0.1,0.0004507884001120543,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
45,two_path_chain,-0.4403977267664069,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.6,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
46,two_path_chain,0.8869890384287166,0.0015347932262757718,0.15384615384615385,0.23076923076923078,0.0007477197769035811,1.1,30,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.1}"
47,two_path_chain,0.4869080228471539,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
48,two_path_chain,0.8002789162912756,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
49,two_path_chain,0.4869080228471539,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
50,two_path_chain,0.9882489118193205,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
51,two_path_chain,1.1402962170644153,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
52,two_path_chain,1.7035384370375273,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.1,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
53,two_path_chain,1.9002700405977386,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.1,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
54,two_path_chain,-0.429228806034701,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.6,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
55,two_path_chain,-0.27997066599609116,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.6,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
56,two_path_chain,-0.2533200682740859,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.6,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
57,two_path_chain,0.12623029026582916,0.0009267330169677734,0.1,0.1,0.00045148531595865887,1.6,20,0.95,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
58,two_path_chain,0.2646768321258824,0.0009267330169677734,0.1,0.1,0.00045631016571509657,1.6,20,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
59,two_path_chain,0.7269257775834167,0.0015204508691477098,0.11538461538461539,0.23076923076923078,0.0007486483974991261,1.1,30,0.97,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.1}"
60,dense_grid_hazard,3.1480018707192365,0.0021870627441452056,0.2,0.45,0.0010654921061220232,2.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
61,dense_grid_hazard,2.9891884841871836,0.0021845737583888166,0.15,0.45,0.001075653068851346,2.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
62,dense_grid_hazard,3.2354306790681413,0.0022149577179000884,0.2,0.45,0.0010790819651308123,2.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
63,dense_grid_hazard,3.0289092776581708,0.0022154300998577523,0.2,0.45,0.0010793120999306996,2.5,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
64,dense_grid_hazard,2.9082347672120945,0.002215902477614271,0.2,0.45,0.0010795422326838756,3.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}"
