stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,1,cumulative_return_auc,523449.0,523449.0,141971.46057381167,0.9,0.9015000000000002,14.078023241849007,14.38860881201173,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,2,cumulative_return_auc,522912.0,522912.0,141788.13209345384,0.9,0.9002500000000002,14.377150279594186,14.377150279594186,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,3,cumulative_return_auc,522497.5,522497.5,144714.14679108473,0.9,0.9007500000000002,13.916381412430379,14.07201940992162,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,4,cumulative_return_auc,522089.5,522089.5,145482.90397604578,0.9,0.9015000000000001,14.448420018388312,14.448420018388312,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,5,cumulative_return_auc,523019.5,523019.5,142947.10957462474,0.9,0.9020000000000001,14.278425989304635,14.392726084368372,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,6,cumulative_return_auc,522704.5,522704.5,142051.64048260264,0.9,0.9012500000000003,13.034437660180476,13.88104564103505,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,7,cumulative_return_auc,522272.5,522272.5,143007.63101859504,0.9,0.9017500000000003,13.583328975996704,14.103797098753137,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,8,cumulative_return_auc,522266.5,522266.5,143057.01146172415,0.9,0.9025000000000003,14.513750065415138,14.513750065415138,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,9,cumulative_return_auc,520749.0,520749.0,144048.640026415,0.9,0.9017500000000002,14.14480853234989,14.14480853234989,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,0,cumulative_return_auc,521282.5,521282.5,140242.932137592,0.9,0.9007500000000002,16.223024829949246,16.42905605204419,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,1,cumulative_return_auc,523480.0,523480.0,141645.7404778534,0.9,0.9015000000000002,17.3496769910717,17.572688024726915,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,2,cumulative_return_auc,522704.0,522704.0,141136.99682161424,0.9,0.9002500000000002,17.19238154451188,17.19238154451188,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,3,cumulative_return_auc,522445.5,522445.5,144115.7168258889,0.9,0.9007500000000002,16.63287391508236,16.851918292232373,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,4,cumulative_return_auc,521277.5,521277.5,140454.47590261864,0.9,0.9015000000000001,15.937507262943106,16.359088895953903,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,5,cumulative_return_auc,523141.5,523141.5,142342.46959512302,0.9,0.9020000000000001,17.43148572875866,17.43148572875866,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,6,cumulative_return_auc,522711.5,522711.5,142266.99239816496,0.9,0.9012500000000003,16.87941301595692,16.87941301595692,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,7,cumulative_return_auc,521821.5,521821.5,143419.49980592614,0.9,0.9017500000000003,16.44753112145347,16.473386790869103,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,8,cumulative_return_auc,522606.5,522606.5,141469.31266566238,0.9,0.9025000000000003,16.76459095347998,17.612334260059068,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,-0.1,0.95,9,cumulative_return_auc,521212.0,521212.0,143125.83821983502,0.9,0.9017500000000002,16.75604419593664,17.00827349874871,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,0,cumulative_return_auc,520912.5,520912.5,140036.94193028053,0.9,0.9007500000000002,18.45506003429262,19.680505640746667,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,1,cumulative_return_auc,523156.0,523156.0,134719.77473433525,0.9,0.9015000000000002,20.642809593766557,20.884749853913398,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.05,-0.05,0.95,2,cumulative_return_auc,522155.0,522155.0,140027.5710086221,0.9,0.9002500000000002,20.3678815442614,20.3678815442614,0,57.0,58.575,False
